Row,Col,Color,Strain
A,1,#4daf4a,DH5a
A,2,#4daf4a,DH5a
A,3,#f781bf,DH12S
A,4,#f781bf,DH12S
A,5,#f781bf,DH12S
A,6,#e41a1c,TG1
A,7,#e41a1c,TG1
A,8,#e41a1c,TG1
A,9,#377eb8,DH5a+DH12S
A,10,#377eb8,DH5a+DH12S
A,11,#ff7f00,DH5a+TG1
A,12,#ff7f00,DH5a+TG1
B,1,#4daf4a,DH5a
B,2,#4daf4a,DH5a
B,3,#f781bf,DH12S
B,4,#f781bf,DH12S
B,5,#f781bf,DH12S
B,6,#e41a1c,TG1
B,7,#e41a1c,TG1
B,8,#e41a1c,TG1
B,9,#377eb8,DH5a+DH12S
B,10,#377eb8,DH5a+DH12S
B,11,#ff7f00,DH5a+TG1
B,12,#ff7f00,DH5a+TG1
C,1,#4daf4a,DH5a
C,2,#4daf4a,DH5a
C,3,#f781bf,DH12S
C,4,#f781bf,DH12S
C,5,#f781bf,DH12S
C,6,#e41a1c,TG1
C,7,#e41a1c,TG1
C,8,#e41a1c,TG1
C,9,#377eb8,DH5a+DH12S
C,10,#377eb8,DH5a+DH12S
C,11,#ff7f00,DH5a+TG1
C,12,#ff7f00,DH5a+TG1
D,1,#4daf4a,DH5a
D,2,#4daf4a,DH5a
D,3,#f781bf,DH12S
D,4,#f781bf,DH12S
D,5,#f781bf,DH12S
D,6,#e41a1c,TG1
D,7,#e41a1c,TG1
D,8,#e41a1c,TG1
D,9,#377eb8,DH5a+DH12S
D,10,#377eb8,DH5a+DH12S
D,11,#ff7f00,DH5a+TG1
D,12,#ff7f00,DH5a+TG1
E,1,#4daf4a,DH5a
E,2,#4daf4a,DH5a
E,3,#f781bf,DH12S
E,4,#f781bf,DH12S
E,5,#f781bf,DH12S
E,6,#e41a1c,TG1
E,7,#e41a1c,TG1
E,8,#e41a1c,TG1
E,9,#377eb8,DH5a+DH12S
E,10,#377eb8,DH5a+DH12S
E,11,#ff7f00,DH5a+TG1
E,12,#ff7f00,DH5a+TG1
F,1,#4daf4a,DH5a
F,2,#4daf4a,DH5a
F,3,#f781bf,DH12S
F,4,#f781bf,DH12S
F,5,#f781bf,DH12S
F,6,#e41a1c,TG1
F,7,#e41a1c,TG1
F,8,#e41a1c,TG1
F,9,#377eb8,DH5a+DH12S
F,10,#377eb8,DH5a+DH12S
F,11,#ff7f00,DH5a+TG1
F,12,#ff7f00,DH5a+TG1
G,1,#4daf4a,DH5a
G,2,#4daf4a,DH5a
G,3,#f781bf,DH12S
G,4,#f781bf,DH12S
G,5,#f781bf,DH12S
G,6,#e41a1c,TG1
G,7,#e41a1c,TG1
G,8,#e41a1c,TG1
G,9,#377eb8,DH5a+DH12S
G,10,#377eb8,DH5a+DH12S
G,11,#ff7f00,DH5a+TG1
G,12,#ffffff,0
H,1,#4daf4a,DH5a
H,2,#4daf4a,DH5a
H,3,#f781bf,DH12S
H,4,#f781bf,DH12S
H,5,#f781bf,DH12S
H,6,#e41a1c,TG1
H,7,#e41a1c,TG1
H,8,#e41a1c,TG1
H,9,#377eb8,DH5a+DH12S
H,10,#377eb8,DH5a+DH12S
H,11,#ff7f00,DH5a+TG1
H,12,#ffffff,0
